[2026-04-10T13:38:03.717Z] GET https://docs.helius.dev/ → pending (?ms, ?B)
[2026-04-10T13:38:10.251Z] GET https://docs.helius.dev/ → 308 (306ms, ?B)
[2026-04-10T13:38:10.558Z] GET https://www.helius.dev/docs → pending (?ms, ?B)
[2026-04-10T13:38:25.718Z] GET https://docs.helius.dev/ → 308 (306ms, ?B)
[2026-04-10T13:38:26.024Z] GET https://www.helius.dev/docs → pending (?ms, ?B)
[2026-04-10T13:38:27.464Z] GET https://www.helius.dev/docs/_next/static/media/bb3ef058b751a6ad-s.p.woff2 → pending (?ms, ?B)
[2026-04-10T13:38:27.464Z] GET https://www.helius.dev/docs/_next/static/media/c4b700dcb2187787-s.p.woff2 → pending (?ms, ?B)
[2026-04-10T13:38:27.464Z] GET https://www.helius.dev/docs/_next/static/media/e4af272ccee01ff0-s.p.woff2 → pending (?ms, ?B)
[2026-04-10T13:38:27.465Z] GET https://mintcdn.com/helius/1-9q8-PZtWH0Z9Lt/logo/light.svg?fit=max&auto=format&n=1-9q8-PZtWH0Z9Lt&q=85&s=170d27f36fb94074ff24cfb5e0ad9816 → pending (?ms, ?B)
[2026-04-10T13:38:27.465Z] GET https://mintcdn.com/helius/1-9q8-PZtWH0Z9Lt/logo/dark.svg?fit=max&auto=format&n=1-9q8-PZtWH0Z9Lt&q=85&s=a28519235a2fa6053288c3b9c0091124 → pending (?ms, ?B)
[2026-04-10T13:38:27.465Z] GET https://d3gk2c5xim1je2.cloudfront.net/flags/US.svg → pending (?ms, ?B)
[2026-04-10T13:38:27.465Z] GET https://www.helius.dev/docs/_next/static/css/ef58abbf40084927.css?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/css/93bac6dd9c729729.css?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/css/05d6d8fcb903870d.css?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/chunks/webpack-d173f4c78079e8b3.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/chunks/87c73c54-dd8d81ac9604067c.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/chunks/90018-c9235b3de8c05a05.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.467Z] GET https://www.helius.dev/docs/_next/static/chunks/main-app-76ddd9525ef90e67.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
[2026-04-10T13:38:27.468Z] GET https://www.helius.dev/docs/_next/static/chunks/891cff7f-dcf0b8e94fd9e2cd.js?dpl=dpl_4nQWUsgp6D263oDhcZWziDXvnUvT → pending (?ms, ?B)
